#acc	label	type	taxid	taxon_label	taxon_name	gene
uniprotkb:P05317	rla0_yeast	protein	559292	yeast	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	RPP0	
uniprotkb:P10174	cox7_yeast	protein	559292	yeast	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	COX7	
uniprotkb:Q5TC12	atpf1_human	protein	9606	human	Homo sapiens	ATPAF1	
uniprotkb:P53114	med5_yeast	protein	559292	yeast	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	NUT1	
uniprotkb:P34162	med20_yeast	protein	559292	yeast	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SRB2	
uniprotkb:Q93074	med12_human	protein	9606	human	Homo sapiens	MED12	
uniprotkb:P06576	atpb_human	protein	9606	human	Homo sapiens	ATP5B	
uniprotkb:Q07817-1	q07817-1	protein	9606	human	Homo sapiens	BCL2L1	
uniprotkb:P38782	med6_yeast	protein	559292	yeast	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	MED6	
uniprotkb:P32259	med16_yeast	protein	559292	yeast	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SIN4	
uniprotkb:P00410	cox2_yeast	protein	559292	yeast	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	COX2	
uniprotkb:P21306	atp5e_yeast	protein	559292	yeast	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	ATP15	
uniprotkb:Q12349	atp14_yeast	protein	559292	yeast	Saccharomyces cerevisiae	ATP14	
uniprotkb:Q8N5M1	atpf2_human	protein	9606	human	Homo sapiens	ATPAF2	
uniprotkb:Q12124	med2_yeast	protein	559292	yeast	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	MED2	
uniprotkb:Q08278	med7_yeast	protein	559292	yeast	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	MED7	
uniprotkb:P47822	med21_yeast	protein	559292	yeast	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SRB7	
uniprotkb:P38077	atpg_yeast	protein	559292	yeast	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	ATP3	
uniprotkb:Q9UHV7	med13_human	protein	9606	human	Homo sapiens	MED13	
uniprotkb:P81450	atp18_yeast	protein	559292	yeast	Saccharomyces cerevisiae	ATP18	
uniprotkb:P32570	med22_yeast	protein	559292	yeast	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SRB6	
uniprotkb:P32897	tim23_yeast	protein	559292	yeast	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	TIM23	
uniprotkb:P07253	cbp6_yeast	protein	559292	yeast	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	CBP6	
uniprotkb:P04037	cox4_yeast	protein	559292	yeast	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	COX4	
uniprotkb:Q01852	tim44_yeast	protein	559292	yeast	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	TIM44	
uniprotkb:P09457	atpo_yeast	protein	559292	yeast	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	ATP5	
uniprotkb:P02829	hsp82_yeast	protein	559292	yeast	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	HSP82	
uniprotkb:P61829	atp9_yeast	protein	559292	yeast	Saccharomyces cerevisiae	OLI1	

