#acc	type_id	type_name	method_id	method_name	pmid	imexid	method_count	pmid_count	imexid_count
uniprotkb:P32259 (pp) uniprotkb:P32585	MI:0915	physical association	MI:0676	tap	19057509	IM-11673-1	1	1	1
uniprotkb:P32335 (pp) uniprotkb:Q3E7B2	MI:0915	physical association	MI:0006	anti bait coip	24942160	IM-23526-4	1	1	1
uniprotkb:P09435 (pp) uniprotkb:P48558	MI:0915	physical association	MI:0007	anti tag coip	21673659	IM-15826-3	1	1	1
uniprotkb:P32585 (pp) uniprotkb:Q12124	MI:0915	physical association	MI:0676	tap	19057509	IM-11673-1	1	1	1
uniprotkb:P00747 (pp) uniprotkb:P38077	MI:0915|MI:0915	physical association|physical association	MI:0107|MI:0405	spr|competition binding	20412062|20412062	IM-15707-4|IM-15707-5	2	1	2
uniprotkb:P04840 (pp) uniprotkb:P48558	MI:0915	physical association	MI:0007	anti tag coip	21673659	IM-15826-3	1	1	1
uniprotkb:P32585 (pp) uniprotkb:Q99278	MI:0915	physical association	MI:0676	tap	19057509	IM-11673-1	1	1	1
uniprotkb:P07256 (pp) uniprotkb:P48558	MI:0915|MI:0915	physical association|physical association	MI:0007|MI:0007	anti tag coip|anti tag coip	21673659|21673659	IM-15826-3|IM-15826-2	1	1	2
uniprotkb:P25705 (pp) uniprotkb:Q8N5M1	MI:0407	direct interaction	MI:0018	2 hybrid	11410595	IM-19049-3	1	1	1
uniprotkb:P48558 (pp) uniprotkb:P50277	MI:0915	physical association	MI:0007	anti tag coip	21673659	IM-15826-3	1	1	1
uniprotkb:P32585 (pp) uniprotkb:Q93074	MI:0915	physical association	MI:0676	tap	19057509	IM-11673-1	1	1	1

